"Powertrain","Year","Country","chemistry","MWh","chem_share_mwh"
"BEV","2022","Kazakhstan","NMC 111",0.294807515935983,0.0413910166284286
"BEV","2022","Kazakhstan","NMC 622",4.43151562144599,0.622185415436433
"BEV","2022","Kazakhstan","NMC 532",0.99461565090646,0.139644177031444
"BEV","2022","Kazakhstan","NMC 811",1.25156121171157,0.175719369843674
"BEV","2022","Kazakhstan","NMC 721",0.15,0.0210600210600211
"BEV","2022","Kenya","LFP",0.1509,0.0429315201001451
"BEV","2022","Kenya","NMC 622",3.364,0.957068479899855
"BEV","2022","Korea, Rep.","NMC 111",593.492393109644,0.0520905228780861
"BEV","2022","Korea, Rep.","LMO",0.1037,9.10169580127977e-06
"BEV","2022","Korea, Rep.","LFP",139.7,0.0122613973330645
"BEV","2022","Korea, Rep.","NMC 622",4595.92526135783,0.403382002452229
"BEV","2022","Korea, Rep.","NMC 532",2040.36266494903,0.179081584384326
"BEV","2022","Korea, Rep.","NMC 811",2809.1031805835,0.246553545073081
"BEV","2022","Korea, Rep.","NMC 721",244.575,0.0214662222815622
"BEV","2022","Korea, Rep.","NCA",970.219,0.0851556239018501
"BEV","2022","Kuwait","NMC 111",0.130066804620416,0.0210832530344966
"BEV","2022","Kuwait","NMC 622",4.27213726976526,0.692494532478321
"BEV","2022","Kuwait","NMC 532",0.438816761940868,0.07113025383208
"BEV","2022","Kuwait","NMC 811",1.32817916367346,0.215291960655102
"BEV","2022","Lao PDR","NMC 111",0.152082990573238,0.00944591380172158
"BEV","2022","Lao PDR","LFP",13.7034,0.851121711261832
"BEV","2022","Lao PDR","NMC 622",1.08617689542797,0.0674627273501258
"BEV","2022","Lao PDR","NMC 532",0.513094526035249,0.0318684334572588
"BEV","2022","Lao PDR","NMC 811",0.645645587963548,0.0401012141290619
"BEV","2022","Latvia","NMC 111",1.15900943416709,0.0225503133313699
"BEV","2022","Latvia","NMC 622",17.5469467258453,0.341402869564238
"BEV","2022","Latvia","NMC 532",9.21124265141581,0.179218910422398
"BEV","2022","Latvia","NMC 811",5.66440118857176,0.110209647886665
"BEV","2022","Latvia","NMC 721",16.295,0.317044318106645
"BEV","2022","Latvia","NMCA 89:4:4:3",1.52,0.0295739406886837
"BEV","2022","Lebanon","NMC 111",0.378304059780113,0.023144374550645
"BEV","2022","Lebanon","NMC 622",9.61974803462213,0.588529374296263
"BEV","2022","Lebanon","NMC 532",3.32231460637679,0.2032568555298
