"Powertrain","Year","Region","chemistry","MWh","chem_share_mwh"
"BEV","2012","Other Europe","NMC 622",0.355261863168763,0.126517757538733
"BEV","2012","Other Europe","NMC 532",0.167820654322751,0.0597651902858801
"BEV","2012","Other Europe","NMC 811",0.211174860643897,0.0752047224515303
"BEV","2012","Other Latin America and Caribbean","LMO",2.112,1
"BEV","2012","South Korea","NMC 111",11.3941896691971,0.0352891849126756
"BEV","2012","South Korea","LMO",269.174,0.833664467194519
"BEV","2012","South Korea","LFP",1.8832,0.00583249840111125
"BEV","2012","South Korea","NMC 622",19.5611532005984,0.0605832597527519
"BEV","2012","South Korea","NMC 532",9.24041072168945,0.0286186707518399
"BEV","2012","South Korea","NMC 811",11.627546408515,0.036011918987102
"BEV","2012","United Kingdom","NMC 111",12.1268578378117,0.0224525289020437
"BEV","2012","United Kingdom","LMO",330.2516,0.611451349815131
"BEV","2012","United Kingdom","NMC 622",103.840432771729,0.192257578112145
"BEV","2012","United Kingdom","NMC 532",42.4093483707531,0.0785196901576771
"BEV","2012","United Kingdom","NMC 811",51.4827610197066,0.095318853013004
"BEV","2012","United States","NMC 111",3.52880758018454,0.00689713537335599
"BEV","2012","United States","LMO",241.416,0.471853110564626
"BEV","2012","United States","NMC 622",27.7019478389289,0.054144092589131
"BEV","2012","United States","NMC 532",11.9054198368913,0.0232694162052845
"BEV","2012","United States","NMC 811",14.9810247439952,0.0292807565567311
"BEV","2012","United States","NCA",212.1006,0.414555488710871
"BEV","2013","ASEAN","NMC 111",0.00203031109651382,0.0267146196909713
"BEV","2013","ASEAN","LMO",0.044,0.578947368421053
"BEV","2013","ASEAN","NMC 622",0.0145004842109699,0.190795844881183
"BEV","2013","ASEAN","NMC 532",0.00684982262541842,0.090129245071295
"BEV","2013","ASEAN","NMC 811",0.00861938206709784,0.113412921935498
"BEV","2013","Australia/NZ","NMC 111",0.0213182665133951,0.00439733220160789
"BEV","2013","Australia/NZ","LMO",4.512,0.930693069306931
"BEV","2013","Australia/NZ","NMC 622",0.152255084215184,0.0314057516945512
"BEV","2013","Australia/NZ","NMC 532",0.0719231375668934,0.0148356306862404
"BEV","2013","Australia/NZ","NMC 811",0.0905035117045273,0.0186682161106698
"BEV","2013","Brazil","NMC 111",0.00203031109651382,0.00164797978613134
"BEV","2013","Brazil","LFP",1.2,0.974025974025974
"BEV","2013","Brazil","NMC 622",0.0145004842109699,0.0117698735478652
"BEV","2013","Brazil","NMC 532",0.00684982262541842,0.00555992096219028
"BEV","2013","Brazil","NMC 811",0.00861938206709784,0.00699625167783916
"BEV","2013","Canada","NMC 111",6.41045349835531,0.00306622466650365
"BEV","2013","Canada","LMO",553.92,0.264948988040465
"BEV","2013","Canada","NMC 622",65.3722663356111,0.0312686232877165
