"Powertrain","Year","Region","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"BEV","2022","South Korea","LFP",236.7829,4284,0.0170728985668968,1.15152685105955,67.447647893386
"BEV","2022","South Korea","NMC 622",6649.15743898672,103006.58694459,0.410509106122132,27.6878736467542,67.447647893386
"BEV","2022","South Korea","NMC 532",2607.6695163908,40141.1440693122,0.159973314905359,10.7898238160744,67.447647893386
"BEV","2022","South Korea","NMC 811",3503.93994805267,51440.0041122982,0.205002327845476,13.8269248258462,67.447647893386
"BEV","2022","South Korea","NMC 721",274.125,3655,0.0145661634598524,0.982453464197629,67.447647893386
"BEV","2022","South Korea","NMCA 89:4:4:3",1290.72,16134,0.064298353286254,4.3367726925758,67.447647893386
"BEV","2022","South Korea","NCA",1615.812,20874,0.0831885351739969,5.6108710291823,67.447647893386
"BEV","2022","United Kingdom","NMC 111",2536.07472740267,41362.7666026148,0.0253310028670712,1.61507263854046,63.7587326098313
"BEV","2022","United Kingdom","LMO",0.6954,114,6.98148253618888e-05,0.00445130478245074,63.7587326098313
"BEV","2022","United Kingdom","LFP",3281.5982,59536,0.036460486339872,2.32467439936831,63.7587326098313
"BEV","2022","United Kingdom","NMC 622",31316.6042505868,527629.927148511,0.323126238768241,20.6021194568447,63.7587326098313
"BEV","2022","United Kingdom","NMC 532",20284.9866619031,361431.867664165,0.221344760712237,14.1126614128386,63.7587326098313
"BEV","2022","United Kingdom","NMC 811",12855.3124101074,198131.438584709,0.121337822662204,7.7363457905786,63.7587326098313
"BEV","2022","United Kingdom","NMC 721",19281.149,263550,0.161400852843209,10.2907138194289,63.7587326098313
"BEV","2022","United Kingdom","NMCA 89:4:4:3",14235.44,177943,0.108974205871672,6.94805725354063,63.7587326098313
"BEV","2022","United Kingdom","NCA",319.2,3192,0.00195481511013289,0.124636533908621,63.7587326098313
"BEV","2022","United States","NMC 111",1228.65667403107,13713.355618072,0.0154102905865962,1.24880054625536,81.0367941628281
"BEV","2022","United States","LFP",4026.55,73210,0.0822692421363258,6.6668356409333,81.0367941628281
"BEV","2022","United States","NMC 622",14457.9045938993,184511.801762207,0.20734388876089,16.8024840344366,81.0367941628281
"BEV","2022","United States","NMC 532",4145.21710446264,46265.8425816465,0.0519909275507527,4.21317809426486,81.0367941628281
"BEV","2022","United States","NMC 811",6686.96812760699,71984.0000380748,0.0808915329746436,6.55519050718182,81.0367941628281
"BEV","2022","United States","NMC 721",1318.835,16457,0.01849344239636,1.49864928483594,81.0367941628281
"BEV","2022","United States","NCA",40249.134,483741,0.543600675594432,44.0516560549203,81.0367941628281
"PHEV","2022","ASEAN","NMC 111",52.7136010898237,3279.47088673579,0.244700110933875,3.91529580609938,16.0003842710043
"PHEV","2022","ASEAN","LMO",5.7546,417,0.0311147589911953,0.497848100358812,16.0003842710043
"PHEV","2022","ASEAN","LFP",0.6405,21,0.00156693030890912,0.0250714870684294,16.0003842710043
"PHEV","2022","ASEAN","NMC 622",62.3003884107149,3430.82142111806,0.255993241390693,4.09599023303105,16.0003842710043
"PHEV","2022","ASEAN","NMC 532",40.4853435130055,2829.34883724922,0.211113926074408,3.37790394215093,16.0003842710043
"PHEV","2022","ASEAN","NMC 811",52.542716986456,3424.35885489693,0.25551103230092,4.08827470229572,16.0003842710043
"PHEV","2022","Africa","NMC 111",1.17209858146829,56.2632943778443,0.125308005295867,2.02920825502505,16.1937639198218
"PHEV","2022","Africa","LMO",1.7112,124,0.276169265033408,4.47221987986171,16.1937639198218
"PHEV","2022","Africa","NMC 622",3.07086703562346,180.15845921255,0.401243784437751,6.49764711948082,16.1937639198218
"PHEV","2022","Africa","NMC 532",0.640132619747152,44.2523157284716,0.0985574960545024,1.59601682363538,16.1937639198218
"PHEV","2022","Africa","NMC 811",0.6767017631611,44.3259306811339,0.0987214491784719,1.59867184181886,16.1937639198218
"PHEV","2022","Australia/NZ","NMC 111",25.6755523180982,1645.97052179361,0.112753152609509,1.6565023830231,14.6914063570352
"PHEV","2022","Australia/NZ","LMO",52.1916,3782,0.259076585833676,3.80619940007584,14.6914063570352
"PHEV","2022","Australia/NZ","LFP",0.0549,3,0.00020550760378134,0.00301919571661225,14.6914063570352
"PHEV","2022","Australia/NZ","NMC 622",80.4495980396541,5356.12198496586,0.366907931563629,5.39039351822054,14.6914063570352
"PHEV","2022","Australia/NZ","NMC 532",26.6753921631414,1844.60635106457,0.126360210375707,1.85640919798996,14.6914063570352
"PHEV","2022","Australia/NZ","NMC 811",29.4181074791064,1966.30114217596,0.134696612013698,1.97888266200914,14.6914063570352
"PHEV","2022","Brazil","NMC 111",13.9446302037035,745.522999507341,0.119781972928557,2.05413959111849,17.1489877892031
"PHEV","2022","Brazil","LMO",0.0414,3,0.000482005141388175,0.00826590028399892,17.1489877892031
"PHEV","2022","Brazil","LFP",11.8394,583,0.0936696658097686,1.60633995519046,17.1489877892031
"PHEV","2022","Brazil","NMC 622",54.9570353817231,3076.39134212023,0.494278814608007,8.47638135617449,17.1489877892031
"PHEV","2022","Brazil","NMC 532",13.3181494237,986.181513607872,0.158448186633656,2.71722601780193,17.1489877892031
"PHEV","2022","Brazil","NMC 811",12.6346849908735,829.904144764552,0.133339354878623,2.28663496863373,17.1489877892031
"PHEV","2022","Canada","NMC 111",812.403792938218,48599.9643991928,0.222803773909901,3.6555532108631,16.4070524781207
"PHEV","2022","Canada","LMO",15.6216,1132,0.00518958964649359,0.0851458696699324,16.4070524781207
"PHEV","2022","Canada","NMC 622",1863.53868763984,110741.501054007,0.507688115995611,8.32966556165825,16.4070524781207
"PHEV","2022","Canada","NMC 532",434.222996230845,28711.4501387971,0.131626010932967,2.15959486886288,16.4070524781207
"PHEV","2022","Canada","NMC 811",433.495673191095,26720.0844080033,0.122496707948064,2.00980991570092,16.4070524781207
"PHEV","2022","Canada","NCA",19.5712,2224,0.0101958015669627,0.167283051365662,16.4070524781207
"PHEV","2022","China","NMC 111",863.509315375894,43783.1724715508,0.0288540743848364,0.618080076365398,21.4208942599183
"PHEV","2022","China","LFP",16879.2362,959860,0.632568867800185,13.550190829264,21.4208942599183
"PHEV","2022","China","NMC 622",5193.83470930281,205761.700638318,0.135601489810411,2.9047051747162,21.4208942599183
"PHEV","2022","China","NMC 532",2029.94635852151,83737.797253998,0.0551850515711071,1.18211315443282,21.4208942599183
"PHEV","2022","China","NMC 811",7537.53836679978,224257.329636134,0.147790516433461,3.16580502513988,21.4208942599183
