Mineral,Year,Scenario,Demand
Copper,2066,Ambitious-Baseline-High Capacity-Baseline-Baseline,26099.42756
Copper,2066,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23455.41931
Copper,2066,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22932.24552
Copper,2066,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29176.17825
Copper,2066,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30809.50756
Copper,2067,Ambitious-Baseline-Baseline-Baseline-Baseline,24415.1807
Copper,2067,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22256.36922
Copper,2067,Ambitious-Baseline-High Capacity-Baseline-Baseline,26048.32547
Copper,2067,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23404.72099
Copper,2067,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22876.057
Copper,2067,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29176.3007
Copper,2067,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30809.44547
Copper,2068,Ambitious-Baseline-Baseline-Baseline-Baseline,24376.89555
Copper,2068,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22198.26219
Copper,2068,Ambitious-Baseline-High Capacity-Baseline-Baseline,26012.83068
Copper,2068,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23365.44701
Copper,2068,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22831.73325
Copper,2068,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29189.05555
Copper,2068,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30824.99068
Copper,2069,Ambitious-Baseline-Baseline-Baseline-Baseline,24344.78627
Copper,2069,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22148.02481
Copper,2069,Ambitious-Baseline-High Capacity-Baseline-Baseline,25986.07316
Copper,2069,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23331.15033
Copper,2069,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22792.68431
