"t","Region","Scenario","Demand"
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",3688.79133910604
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-USA Recycling",3689.2339902274
2023,"Australia/NZ","Ambitious-Baseline-High Capacity-Baseline-Baseline",3769.33743126842
2023,"Australia/NZ","Ambitious-Baseline-Low Capacity-Baseline-Baseline",3600.72661778343
2023,"Australia/NZ","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",3600.28396666207
2023,"Australia/NZ","Ambitious-Double LFP-Baseline-Baseline-Baseline",3703.54876963877
2023,"Australia/NZ","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",3687.55081725101
2023,"Australia/NZ","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",3689.2339902274
2023,"Australia/NZ","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",3689.2339902274
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-Baseline",1722.62341116934
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1722.44993180504
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1722.66666892442
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1722.62341116934
2023,"Brazil","Ambitious-Baseline-High Capacity-Baseline-Baseline",1764.21866228654
2023,"Brazil","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1698.50864784793
2023,"Brazil","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1698.54690012727
2023,"Brazil","Ambitious-Double LFP-Baseline-Baseline-Baseline",1728.09074521979
2023,"Brazil","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1719.4874957203
2023,"Brazil","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1722.62341116934
2023,"Brazil","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1722.62341116934
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-Baseline",4447.04458477313
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",4447.68258195656
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",4445.45310714069
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-USA Recycling",4447.04458477313
2023,"Canada","Ambitious-Baseline-High Capacity-Baseline-Baseline",4520.21079923724
2023,"Canada","Ambitious-Baseline-Low Capacity-Baseline-Baseline",4327.57107668001
2023,"Canada","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",4325.97959904757
2023,"Canada","Ambitious-Double LFP-Baseline-Baseline-Baseline",4454.71191177625
2023,"Canada","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",4440.07175356265
2023,"Canada","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",4447.04458477313
2023,"Canada","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",4447.04458477313
2023,"China","Ambitious-Baseline-Baseline-Baseline-Baseline",251467.420669586
2023,"China","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",251518.842057013
2023,"China","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",251415.999282158
2023,"China","Ambitious-Baseline-Baseline-Baseline-USA Recycling",251467.420669586
2023,"China","Ambitious-Baseline-High Capacity-Baseline-Baseline",263185.789188555
2023,"China","Ambitious-Baseline-Low Capacity-Baseline-Baseline",247033.593873192
2023,"China","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",246982.172485764
2023,"China","Ambitious-Double LFP-Baseline-Baseline-Baseline",255094.292424544
2023,"China","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",250783.150291055
2023,"China","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",251467.420669586
2023,"China","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",251467.420669586
2023,"EFTA","Ambitious-Baseline-Baseline-Baseline-Baseline",10286.4233411844
2023,"EFTA","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",10283.1132362031
2023,"EFTA","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",10286.8581280619
2023,"EFTA","Ambitious-Baseline-Baseline-Baseline-USA Recycling",10286.4233411844
2023,"EFTA","Ambitious-Baseline-High Capacity-Baseline-Baseline",10452.7499396165
2023,"EFTA","Ambitious-Baseline-Low Capacity-Baseline-Baseline",10029.4244364945
2023,"EFTA","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",10029.8497764355
2023,"EFTA","Ambitious-Double LFP-Baseline-Baseline-Baseline",10291.4912994828
2023,"EFTA","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",10280.8721976571
2023,"EFTA","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",10286.4233411844
2023,"EFTA","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",10286.4233411844
2023,"European Union","Ambitious-Baseline-Baseline-Baseline-Baseline",91943.2602580907
2023,"European Union","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",91932.5314457887
2023,"European Union","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",91953.9890703927
2023,"European Union","Ambitious-Baseline-Baseline-Baseline-USA Recycling",91943.2602580907
2023,"European Union","Ambitious-Baseline-High Capacity-Baseline-Baseline",94626.3570244502
2023,"European Union","Ambitious-Baseline-Low Capacity-Baseline-Baseline",90455.7070800563
2023,"European Union","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",90466.3690966784
2023,"European Union","Ambitious-Double LFP-Baseline-Baseline-Baseline",91982.9999114799
2023,"European Union","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",91886.7588264625
2023,"European Union","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",91943.2602580907
2023,"European Union","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",91943.2602580907
2023,"India","Ambitious-Baseline-Baseline-Baseline-Baseline",9894.60003253938
2023,"India","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",9892.00122034678
2023,"India","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",9895.776416411
2023,"India","Ambitious-Baseline-Baseline-Baseline-USA Recycling",9894.60003253938
2023,"India","Ambitious-Baseline-High Capacity-Baseline-Baseline",10310.4955549472
2023,"India","Ambitious-Baseline-Low Capacity-Baseline-Baseline",9805.29529490581
2023,"India","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",9806.36901525151
2023,"India","Ambitious-Double LFP-Baseline-Baseline-Baseline",9894.76830055407
2023,"India","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",9888.0615591469
2023,"India","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",9894.60003253938
2023,"India","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",9894.60003253938
2023,"Japan","Ambitious-Baseline-Baseline-Baseline-Baseline",14869.5554373879
2023,"Japan","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",14870.0574453432
2023,"Japan","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",14867.9977557097
2023,"Japan","Ambitious-Baseline-Baseline-Baseline-USA Recycling",14869.5554373879
2023,"Japan","Ambitious-Baseline-High Capacity-Baseline-Baseline",15562.9554485443
2023,"Japan","Ambitious-Baseline-Low Capacity-Baseline-Baseline",14758.142035648
