"Region","Country","Powertrain","kwh_veh","Vehicle"
"Other Asia Pacific","Bangladesh","PHEV",14.7593186182247,"Car"
"Other Latin America and Caribbean","Barbados","PHEV",16.6129090909091,"Car"
"Other Latin America and Caribbean","Belize","PHEV",16.6129090909091,"Car"
"Africa","Benin","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Bermuda","PHEV",16.6129090909091,"Car"
"Other Asia Pacific","Bhutan","PHEV",14.7593186182247,"Car"
"Other Latin America and Caribbean","Bolivia","PHEV",16.6129090909091,"Car"
"Africa","Botswana","PHEV",16.1937639198218,"Car"
"ASEAN","Brunei Darussalam","PHEV",16.0003842710043,"Car"
"Africa","Burkina Faso","PHEV",16.1937639198218,"Car"
"Africa","Burundi","PHEV",16.1937639198218,"Car"
"Africa","Cabo Verde","PHEV",16.1937639198218,"Car"
"ASEAN","Cambodia","PHEV",16.0003842710043,"Car"
"Africa","Cameroon","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Cayman Islands","PHEV",16.6129090909091,"Car"
"Africa","Central African Republic","PHEV",16.1937639198218,"Car"
"Africa","Chad","PHEV",16.1937639198218,"Car"
"Africa","Comoros","PHEV",16.1937639198218,"Car"
"Africa","Congo, Dem. Rep.","PHEV",16.1937639198218,"Car"
"Africa","Congo, Rep.","PHEV",16.1937639198218,"Car"
"Africa","Cote d'Ivoire","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Cuba","PHEV",16.6129090909091,"Car"
"Africa","Djibouti","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Dominica","PHEV",16.6129090909091,"Car"
"Other Latin America and Caribbean","El Salvador","PHEV",16.6129090909091,"Car"
"Africa","Equatorial Guinea","PHEV",16.1937639198218,"Car"
"Africa","Eritrea","PHEV",16.1937639198218,"Car"
"Africa","Ethiopia","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","French Polynesia","PHEV",14.7593186182247,"Car"
"Africa","Gabon","PHEV",16.1937639198218,"Car"
"Africa","Gambia, The","PHEV",16.1937639198218,"Car"
"Africa","Ghana","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Grenada","PHEV",16.6129090909091,"Car"
"Other Latin America and Caribbean","Guatemala","PHEV",16.6129090909091,"Car"
"Africa","Guinea","PHEV",16.1937639198218,"Car"
"Africa","Guinea-Bissau","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Guyana","PHEV",16.6129090909091,"Car"
"Other Latin America and Caribbean","Haiti","PHEV",16.6129090909091,"Car"
"Other Latin America and Caribbean","Honduras","PHEV",16.6129090909091,"Car"
"Middle East","Iran, Islamic Rep.","PHEV",15.504639959432,"Car"
"Africa","Kenya","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Kiribati","PHEV",14.7593186182247,"Car"
"Other Asia Pacific","Kyrgyz Republic","PHEV",14.7593186182247,"Car"
"ASEAN","Lao PDR","PHEV",16.0003842710043,"Car"
"Africa","Lesotho","PHEV",16.1937639198218,"Car"
"Africa","Liberia","PHEV",16.1937639198218,"Car"
"Africa","Libya","PHEV",16.1937639198218,"Car"
"Africa","Malawi","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Maldives","PHEV",14.7593186182247,"Car"
"Africa","Mali","PHEV",16.1937639198218,"Car"
"Africa","Mauritania","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Mongolia","PHEV",14.7593186182247,"Car"
"Other Europe","Montenegro","PHEV",15.7592028135991,"Car"
"Africa","Mozambique","PHEV",16.1937639198218,"Car"
"ASEAN","Myanmar","PHEV",16.0003842710043,"Car"
"Africa","Namibia","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Nicaragua","PHEV",16.6129090909091,"Car"
"Africa","Niger","PHEV",16.1937639198218,"Car"
"Africa","Nigeria","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Pakistan","PHEV",14.7593186182247,"Car"
"Other Asia Pacific","Palau","PHEV",14.7593186182247,"Car"
"Other Asia Pacific","Papua New Guinea","PHEV",14.7593186182247,"Car"
"Other Asia Pacific","Samoa","PHEV",14.7593186182247,"Car"
"Africa","Sao Tome and Principe","PHEV",16.1937639198218,"Car"
"Africa","Senegal","PHEV",16.1937639198218,"Car"
