"chemistry","Year","stationaryPower","ICCT_Region","ICCT_Country"
"LCO",2027,0,"European Union","Slovak Republic"
"LCO",2027,0,"European Union","Slovenia"
"LCO",2027,0,"European Union","Spain"
"LCO",2027,0,"European Union","Sweden"
"LCO",2027,0,"Other Europe","Albania"
"LCO",2027,0,"Other Europe","Azerbaijan"
"LCO",2027,0,"Other Europe","Belarus"
"LCO",2027,0,"Other Europe","Bosnia and Herzegovina"
"LCO",2027,0,"Other Europe","Georgia"
"LCO",2027,0,"Other Europe","Macedonia, FYR"
"LCO",2027,0,"Other Europe","Moldova"
"LCO",2027,0,"Other Europe","Montenegro"
"LCO",2027,0,"Other Europe","Russian Federation"
"LCO",2027,0,"Other Europe","Serbia"
"LCO",2027,0,"Other Europe","Ukraine"
"LCO",2027,0,"United Kingdom","United Kingdom"
"LCO",2027,0,"Canada","Canada"
"LCO",2027,0,"Mexico","Mexico"
"LCO",2027,0,"United States","United States"
"LCO",2027,0,"Brazil","Brazil"
"LCO",2027,0,"Other Latin America and Caribbean","Argentina"
"LCO",2027,0,"Other Latin America and Caribbean","Bolivia"
"LCO",2027,0,"Other Latin America and Caribbean","Chile"
"LCO",2027,0,"Other Latin America and Caribbean","Colombia"
"LCO",2027,0,"Other Latin America and Caribbean","Costa Rica"
"LCO",2027,0,"Other Latin America and Caribbean","Ecuador"
"LCO",2027,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2027,0,"Other Latin America and Caribbean","Peru"
"LCO",2027,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2027,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2027,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2027,0,"Africa","Algeria"
"LCO",2027,0,"Africa","Burundi"
"LCO",2027,0,"Africa","Kenya"
"LCO",2027,0,"Africa","Morocco"
"LCO",2027,0,"Africa","Nigeria"
"LCO",2027,0,"Africa","South Africa"
"LCO",2027,0,"Africa","Tunisia"
"LCO",2027,0,"Australia/NZ","Australia"
"LCO",2027,0,"Australia/NZ","New Zealand"
"LCO",2027,0,"Middle East","Egypt, Arab Rep."
"LCO",2027,0,"Middle East","Iran, Islamic Rep."
"LCO",2027,0,"Middle East","Iraq"
"LCO",2027,0,"Middle East","Israel"
"LCO",2027,0,"Middle East","Kuwait"
"LCO",2027,0,"Middle East","Oman"
"LCO",2027,0,"Middle East","Qatar"
"LCO",2027,0,"Middle East","Saudi Arabia"
"LCO",2027,0,"Middle East","Turkey"
"LCO",2027,0,"Middle East","United Arab Emirates"
"LCO",2028,0,"China","China"
"LCO",2028,0,"ASEAN","Indonesia"
"LCO",2028,0,"ASEAN","Malaysia"
"LCO",2028,0,"ASEAN","Philippines"
"LCO",2028,0,"ASEAN","Singapore"
"LCO",2028,0,"ASEAN","Thailand"
"LCO",2028,0,"ASEAN","Vietnam"
"LCO",2028,0,"India","India"
"LCO",2028,0,"Japan","Japan"
"LCO",2028,0,"Other Asia Pacific","Bangladesh"
"LCO",2028,0,"Other Asia Pacific","Kazakhstan"
"LCO",2028,0,"Other Asia Pacific","Mongolia"
"LCO",2028,0,"Other Asia Pacific","Pakistan"
"LCO",2028,0,"Other Asia Pacific","Sri Lanka"
"LCO",2028,0,"Other Asia Pacific","Turkmenistan"
"LCO",2028,0,"Other Asia Pacific","Uzbekistan"
"LCO",2028,0,"South Korea","Korea, Rep."
"LCO",2028,0,"EFTA","Iceland"
"LCO",2028,0,"EFTA","Norway"
"LCO",2028,0,"EFTA","Switzerland"
"LCO",2028,0,"European Union","Austria"
"LCO",2028,0,"European Union","Belgium"
"LCO",2028,0,"European Union","Bulgaria"
